Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,1837.109985,1871.140015,1837.109985,1850.079956,1850.079956,212000
2023-08-15,1842.790039,1864.900024,1842.790039,1848.160034,1848.160034,186600
2023-08-16,1845.719971,1873.729980,1841.189941,1866.890015,1866.890015,322600
2023-08-17,1860.890015,1876.380005,1841.520020,1848.540039,1848.540039,322600
2023-08-18,1837.459961,1858.219971,1837.459961,1849.199951,1849.199951,194600
2023-08-21,1853.229980,1877.969971,1853.229980,1866.130005,1866.130005,263800
2023-08-22,1883.699951,1884.319946,1865.949951,1872.040039,1872.040039,151100
2023-08-23,1878.880005,1897.000000,1866.920044,1894.910034,1894.910034,175500
2023-08-24,1900.050049,1900.969971,1870.290039,1872.319946,1872.319946,188500
2023-08-25,1872.130005,1886.000000,1866.050049,1876.780029,1876.780029,164100
2023-08-28,1885.550049,1902.150024,1877.430054,1899.270020,1899.270020,174400
2023-08-29,1898.800049,1911.430054,1891.760010,1903.079956,1903.079956,141300
2023-08-30,1910.000000,1943.849976,1903.560059,1938.569946,1938.569946,233400
2023-08-31,1945.849976,1951.739990,1924.560059,1926.640015,1926.640015,198700
2023-09-01,1928.160034,1942.310059,1921.000000,1938.609985,1938.609985,173700
2023-09-05,1961.000000,1969.949951,1932.630005,1951.489990,1951.489990,271700
2023-09-06,1950.000000,1966.310059,1941.900024,1954.119995,1954.119995,324200
2023-09-07,1946.750000,1970.040039,1927.689941,1966.839966,1966.839966,242500
2023-09-08,1970.530029,1976.040039,1943.160034,1945.099976,1945.099976,229600
2023-09-11,1953.410034,1958.910034,1940.150024,1948.849976,1948.849976,192300
2023-09-12,1926.250000,1936.660034,1916.000000,1933.010010,1933.010010,210600
2023-09-13,1927.109985,1946.000000,1914.959961,1933.040039,1933.040039,120200
2023-09-14,1943.500000,1943.500000,1919.390015,1936.119995,1936.119995,179500
2023-09-15,1928.510010,1928.510010,1903.670044,1912.500000,1912.500000,247200
2023-09-18,1901.800049,1945.920044,1901.800049,1938.359985,1938.359985,210200
2023-09-19,1934.000000,1934.000000,1898.500000,1924.670044,1924.670044,161300
2023-09-20,1920.000000,1939.829956,1919.949951,1920.479980,1920.479980,130100
2023-09-21,1909.709961,1914.469971,1859.099976,1866.010010,1866.010010,242100
2023-09-22,1868.270020,1891.689941,1862.030029,1875.579956,1875.579956,201200
2023-09-25,1864.270020,1867.430054,1848.500000,1859.689941,1859.689941,205100
2023-09-26,1840.000000,1852.439941,1836.479980,1847.619995,1847.619995,203600
2023-09-27,1854.189941,1863.650024,1795.010010,1806.079956,1806.079956,333500
2023-09-28,1804.560059,1848.770020,1803.550049,1838.729980,1838.729980,295500
2023-09-29,1854.380005,1866.579956,1831.010010,1831.829956,1831.829956,246700
2023-10-02,1830.949951,1868.979980,1828.849976,1867.130005,1867.130005,197400
2023-10-03,1856.079956,1876.819946,1826.260010,1837.189941,1837.189941,196100
2023-10-04,1842.880005,1863.979980,1840.459961,1857.989990,1857.989990,161800
2023-10-05,1854.380005,1871.880005,1848.339966,1861.579956,1861.579956,200600
2023-10-06,1850.329956,1854.069946,1818.130005,1822.270020,1822.270020,383800
2023-10-09,1800.010010,1833.449951,1800.010010,1833.010010,1833.010010,245800
2023-10-10,1825.000000,1844.359985,1823.069946,1832.119995,1832.119995,193200
2023-10-11,1836.660034,1842.619995,1810.439941,1823.479980,1823.479980,282500
2023-10-12,1825.079956,1826.869995,1780.609985,1793.680054,1793.680054,251500
2023-10-13,1790.060059,1803.489990,1768.640015,1781.479980,1781.479980,221400
